@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 {0,1,2,3}

@data
11,'2023/10/23 11:07:32:985',1,634.249207,491.179718,-0.001279,579.695557,481.84491,19.64002,525.653259,473.949768,27.346544,483.81311,475.873688,31.293812,455.470184,484.313568,34.532944,480.934906,437.782166,15.324514,407.809296,443.883789,18.234037,366.148224,451.076385,20.99634,335.817993,457.682953,22.59244,476.886932,448.493073,4.452472,391.084564,446.965942,5.007068,341.631927,456.252502,7.079012,306.929657,465.810303,8.961863,477.660431,466.912354,-5.152218,396.595886,460.62738,-5.568089,345.400116,466.800629,-4.207671,308.432953,473.760315,-3.240552,483.633881,491.756561,-13.069288,420.02774,481.891052,-14.248534,380.431244,481.601135,-14.394347,347.852234,483.548492,-14.775442,1
12,'2023/10/23 11:07:32:997',1,636.709961,494.093262,-0.001303,584.792603,487.919617,20.693724,531.210815,479.825134,29.389256,489.200653,481.203949,34.170372,459.240326,488.710144,38.276119,482.3461,439.041748,18.839825,411.02536,443.518097,23.019199,371.189697,449.687317,26.454973,342.82254,455.149536,28.48855,475.680573,449.372437,7.807888,391.681305,446.184174,9.808566,344.361115,454.539215,12.714849,312.032074,462.488434,15.248747,473.38855,467.981781,-2.098866,393.533478,460.262054,-1.473411,344.074158,465.42038,0.57871,309.199707,471.298492,2.102386,475.787964,493.491638,-10.315676,411.734406,483.091766,-10.878561,372.28302,481.831268,-10.590847,340.720459,482.618866,-10.565828,1
13,'2023/10/23 11:07:33:008',1,636.709961,494.093262,-0.001303,584.792603,487.919617,20.693724,531.210815,479.825134,29.389256,489.200653,481.203949,34.170372,459.240326,488.710144,38.276119,482.3461,439.041748,18.839825,411.02536,443.518097,23.019199,371.189697,449.687317,26.454973,342.82254,455.149536,28.48855,475.680573,449.372437,7.807888,391.681305,446.184174,9.808566,344.361115,454.539215,12.714849,312.032074,462.488434,15.248747,473.38855,467.981781,-2.098866,393.533478,460.262054,-1.473411,344.074158,465.42038,0.57871,309.199707,471.298492,2.102386,475.787964,493.491638,-10.315676,411.734406,483.091766,-10.878561,372.28302,481.831268,-10.590847,340.720459,482.618866,-10.565828,1
14,'2023/10/23 11:07:33:020',1,636.709961,494.093262,-0.001303,584.792603,487.919617,20.693724,531.210815,479.825134,29.389256,489.200653,481.203949,34.170372,459.240326,488.710144,38.276119,482.3461,439.041748,18.839825,411.02536,443.518097,23.019199,371.189697,449.687317,26.454973,342.82254,455.149536,28.48855,475.680573,449.372437,7.807888,391.681305,446.184174,9.808566,344.361115,454.539215,12.714849,312.032074,462.488434,15.248747,473.38855,467.981781,-2.098866,393.533478,460.262054,-1.473411,344.074158,465.42038,0.57871,309.199707,471.298492,2.102386,475.787964,493.491638,-10.315676,411.734406,483.091766,-10.878561,372.28302,481.831268,-10.590847,340.720459,482.618866,-10.565828,1
15,'2023/10/23 11:07:33:032',1,635.379089,494.471527,-0.001269,579.846985,486.357605,20.31744,526.073669,478.024109,28.284979,483.871643,479.267212,32.424709,454.228546,486.51828,35.92017,482.365234,439.061462,16.009539,409.536804,443.457642,18.932076,367.402222,448.77475,21.782188,336.99765,453.836151,23.544292,478.286102,449.041321,4.780073,392.73172,446.088989,5.245478,343.296753,453.877716,7.517869,308.770355,461.825623,9.70832,478.730164,467.539459,-5.199286,397.634338,460.407349,-5.836782,346.127441,465.354248,-4.424687,308.898163,471.15799,-3.275345,483.753174,493.256012,-13.417421,419.410767,483.121948,-14.979278,379.240265,482.07959,-15.357706,346.253296,483.170166,-15.812336,1
16,'2023/10/23 11:07:33:044',1,635.379089,494.471527,-0.001269,579.846985,486.357605,20.31744,526.073669,478.024109,28.284979,483.871643,479.267212,32.424709,454.228546,486.51828,35.92017,482.365234,439.061462,16.009539,409.536804,443.457642,18.932076,367.402222,448.77475,21.782188,336.99765,453.836151,23.544292,478.286102,449.041321,4.780073,392.73172,446.088989,5.245478,343.296753,453.877716,7.517869,308.770355,461.825623,9.70832,478.730164,467.539459,-5.199286,397.634338,460.407349,-5.836782,346.127441,465.354248,-4.424687,308.898163,471.15799,-3.275345,483.753174,493.256012,-13.417421,419.410767,483.121948,-14.979278,379.240265,482.07959,-15.357706,346.253296,483.170166,-15.812336,1
17,'2023/10/23 11:07:33:056',1,632.771301,491.792511,-0.001364,578.416809,484.636383,20.093472,524.999329,477.186066,28.211834,483.603241,479.001923,32.540436,455.324921,486.744324,36.232277,479.996704,438.068146,16.638651,407.686737,443.276917,19.899218,366.265045,449.198761,22.727657,336.322754,454.641846,24.385845,475.249451,448.541412,5.790004,390.660767,446.175049,6.784153,341.79361,454.090698,9.089025,307.664978,462.223663,11.172452,475.161743,467.306213,-3.84037,395.474915,460.605103,-3.914172,345.250946,465.313171,-2.386502,309.241425,470.930634,-1.253935,479.821991,492.992828,-11.774567,416.955139,483.381348,-12.796741,378.123779,482.30658,-12.951806,346.422058,483.256866,-13.296906,1
18,'2023/10/23 11:07:33:068',1,632.771301,491.792511,-0.001364,578.416809,484.636383,20.093472,524.999329,477.186066,28.211834,483.603241,479.001923,32.540436,455.324921,486.744324,36.232277,479.996704,438.068146,16.638651,407.686737,443.276917,19.899218,366.265045,449.198761,22.727657,336.322754,454.641846,24.385845,475.249451,448.541412,5.790004,390.660767,446.175049,6.784153,341.79361,454.090698,9.089025,307.664978,462.223663,11.172452,475.161743,467.306213,-3.84037,395.474915,460.605103,-3.914172,345.250946,465.313171,-2.386502,309.241425,470.930634,-1.253935,479.821991,492.992828,-11.774567,416.955139,483.381348,-12.796741,378.123779,482.30658,-12.951806,346.422058,483.256866,-13.296906,1
19,'2023/10/23 11:07:33:080',1,632.771301,491.792511,-0.001364,578.416809,484.636383,20.093472,524.999329,477.186066,28.211834,483.603241,479.001923,32.540436,455.324921,486.744324,36.232277,479.996704,438.068146,16.638651,407.686737,443.276917,19.899218,366.265045,449.198761,22.727657,336.322754,454.641846,24.385845,475.249451,448.541412,5.790004,390.660767,446.175049,6.784153,341.79361,454.090698,9.089025,307.664978,462.223663,11.172452,475.161743,467.306213,-3.84037,395.474915,460.605103,-3.914172,345.250946,465.313171,-2.386502,309.241425,470.930634,-1.253935,479.821991,492.992828,-11.774567,416.955139,483.381348,-12.796741,378.123779,482.30658,-12.951806,346.422058,483.256866,-13.296906,1
20,'2023/10/23 11:07:33:095',1,633.038208,492.69165,-0.001431,580.290222,486.543365,20.76343,527.107971,479.188049,29.495121,486.123901,481.301208,34.331165,457.961029,489.160522,38.508301,480.875763,437.514954,18.622492,409.851868,442.888,22.621647,369.550751,448.578918,25.782766,340.483765,453.478455,27.647173,474.834869,447.773865,7.764939,391.554352,445.442444,9.649452,343.405914,453.040283,12.42411,309.965607,460.433899,14.851633,473.468262,466.764252,-1.920006,394.787781,459.989868,-1.300233,345.183014,464.071045,0.563608,309.911682,468.94812,1.955541,476.755554,492.969147,-9.892656,414.283875,483.783783,-10.370451,375.845703,482.304108,-10.247332,344.567413,482.628265,-10.354512,1
